Tanggal,Penulis,Judul,Artikel,Label
" Selasa, 5 Desember 2023 08:09 WIB",Pewarta: Benardy FerdiansyahEditor: Ahmad WijayaCOPYRIGHT © ANTARA 2023,PGE sebut panas bumi merupakan energi terbarukan paling potensial," Ini dikarenakan panas bumi memiliki ketersediaan terbaik di antara energi terbarukan lainnya serta dapat dikontrolJakarta (ANTARA) - Direktur Utama PT Pertamina Geothermal Energy Tbk (PGE) Julfi Hadi menyampaikan panas bumi berkembang menjadi energi terbarukan yang paling potensial untuk mengurangi karbonisasi sektor industri di Indonesia.   Selain itu, kata dia, menciptakan peluang berkelanjutan dalam transformasi menuju pemanfaatan sumber daya energi yang ramah lingkungan.   ""Ini dikarenakan panas bumi memiliki ketersediaan terbaik di antara energi terbarukan lainnya serta dapat dikontrol. Selain itu, dengan potensinya yang sangat besar di Indonesia, panas bumi mampu menjadi baseload hijau untuk sektor industri sebagai sumber energi terbarukan strategis yang utama,"" kata Julfi dalam keterangan yang diterima di Jakarta, Selasa.   Julfi menyampaikan hal tersebut saat menjadi pembicara dalam sesi talkshow Collective Actions in Decarbonization to Support the Achievement of NDC and Net Zero Emission Target di Paviliun Indonesia pada perhelatan Conference of Parties (COP) ke-28 di Dubai, Uni Emirat Arab (UEA), Minggu (3/12).   Berdasarkan Rencana Umum Penyediaan Tenaga Listrik (RUPTL) PLN tahun 2021-2030 dan dokumen hijau PGE, secara keseluruhan industri panas bumi Indonesia diperkirakan akan berkontribusi hingga 16 persen dari total target dekarbonisasi nasional pada 2030.   ""Jika pertumbuhan Pertamina Geothermal Energy mengikuti rencana skenario agresif, Pertamina Geothermal Energy sendiri akan berkontribusi terhadap 5 persen pengurangan karbon nasional pada tahun 2030 serta berkontribusi 89 juta ton penghindaran CO2 selama 10 tahun ke depan,"" kata Julfi.   Selain itu, perseroan juga memiliki inisiatif beyond geothermal untuk mendorong upaya dekarbonisasi.   ""Strategi yang kami jalankan, di antaranya dengan menjajaki bisnis rendah karbon, yaitu green hydrogen dan green methanol serta mempromosikan sistem kredit karbon di Indonesia yang sedang berkembang dengan memasok kredit karbon ke agregator utama Pertamina Geothermal Energy, yaitu Pertamina New Renewable Energy (PNRE),"" ungkapnya.   Terkait dengan upaya memperluas dampak perseroan terhadap perjalanan dekarbonisasi di Indonesia, Julfi mengungkapkan saat ini PGE sedang mengembangkan produk sekunder (secondary product) panas bumi.   ""Beberapa produk sekunder yang sedang dikembangkan oleh Pertamina Geothermal Energy, di antaranya green methanol, green hydrogen, dan ekstraksi silika,"" katanya.   Selain itu, pada perhelatan COP ke-28 juga dilaksanakan joint statement kemitraan lapangan panas bumi Suswa, Kenya antara PGE, Geothermal Development Company (GDC), dan salah satu pemegang saham PGE, Masdar. Joint statement tersebut diumumkan oleh Presiden Republik Kenya William Ruto pada Sabtu (2/12).   Adapun tujuan dari joint statement tersebut untuk mengakselerasi pengembangan lapangan panas bumi Suswa.   ""Kemitraan yang memiliki nilai investasi 1,2 miliar dolar AS ini ditujukan untuk pengembangan 300 MW (megawatt) tenaga panas bumi pada tahun 2030. Infrastruktur awal proyek ini pun akan segera dimulai,” ucap William Ruto.   Lebih lanjut, PGE juga aktif menjalin kerja sama dengan seluruh pemangku kepentingan guna mengakselerasi pengembangan panas bumi.   ""Hal ini dilakukan dengan menjajaki pengaturan baru guna memasok listrik ramah lingkungan kepada pelanggan yang dapat membuat listrik panas bumi lebih mudah diakses, optimalisasi teknologi serta kerja sama dengan lembaga keuangan yang berfokus pada ESG (environmental, social, and governance) yang mampu membiayai/membiayai kembali proyek-proyek baru panas bumi,"" ujar Julfi.Pewarta: Benardy FerdiansyahEditor: Ahmad Wijaya    COPYRIGHT © ANTARA 2023 ",ekonomi
" Selasa, 5 Desember 2023 08:07 WIB",Penerjemah: Citro AtmokoEditor: Ahmad WijayaCOPYRIGHT © ANTARA 2023,Dolar menguat didorong kenaikan imbal hasil obligasi AS," Dengan perkiraan pelonggaran sebesar 135 basis poin pada Desember 2024, kami pikir pasar mendekati batas yang masuk akal tanpa memberikan peluang terjadinya resesi dalam waktu dekatNew York (ANTARA) - Dolar AS menguat terhadap sekeranjang mata uang utama lainnya pada akhir perdagangan Senin (Selasa pagi WIB) sebagian besar didorong oleh suasana pasar yang buruk dan kenaikan imbal hasil obligasi AS.   Momentum kenaikan imbal hasil obligasi pemerintah AS pada Senin (4/12) menyebabkan pertumbuhan signifikan dalam imbal hasil untuk periode 12 bulan hingga 10 tahun sehingga memperkuat dolar AS.   Imbal hasil obligasi pemerintah AS naik pada Senin (4/12) karena semua obligasi bertenor 12 bulan hingga 10 tahun mengalami lonjakan imbal hasil mendekati 10 basis poin sehingga meningkatkan mata uang Amerika.   Ahli strategi terkemuka di Goldman Sachs Group Praveen Korapaty memberikan rekomendasi bagi para pedagang yang berpikir bahwa pasar sekali lagi terlalu cepat untuk bertaruh pada beberapa kali penurunan suku bunga Federal Reserve tahun depan.   ""Dengan perkiraan pelonggaran sebesar 135 basis poin pada Desember 2024, kami pikir pasar mendekati batas yang masuk akal tanpa memberikan peluang terjadinya resesi dalam waktu dekat,” ujar Korapaty dalam catatannya.   Ekonom Goldman Sachs memperkirakan Federal Reserve akan menurunkan suku bunga sekali saja pada 2024, kemungkinan besar pada kuartal keempat.   Namun, proyeksi di antara bank-bank terkemuka di Wall Street berbeda secara signifikan, di mana UBS Group memperkirakan beberapa kali pemotongan.   Tidak ada laporan signifikan yang muncul selama sesi tersebut. Investor sedang menunggu rilis data ketenagakerjaan non pertanian atau nonfarm payrolls AS untuk November pada Jumat (8/11) bersamaan dengan tingkat pengangguran.   Sementara PMI jasa Institute for Supply Management (ISM) akan dirilis pada Selasa dan laporan perubahan ketenagakerjaan Pemrosesan Data Otomatis (ADP) pada Rabu (6/12).   Pada akhir perdagangan di New York, euro turun ke 1,0828 dolar AS dari 1,0872. Pound Inggris turun ke 1,2622 dolar AS dari 1,2700 dolar AS.   Sementara itu, dolar AS mencapai 147,2990 yen Jepang, lebih tinggi dari 146,8800 yen pada sesi sebelumnya. Dolar AS naik menjadi 0,8730 franc Swiss dari 0,8694 franc Swiss.   Selanjutnya, dolar AS menguat menjadi 1,3543 dolar Kanada dari 1,3493 dolar Kanada dan dolar AS menguat menjadi 10,4473 krona Swedia dari 10,3762 krona Swedia.    Sumber: Xinhua  Baca juga: Dolar jatuh dari tertinggi 10-bulan di Asia, yen di zona intervensi  Baca juga: Dolar turun dari tertinggi 10 bulan di awal Asia, yen rawan intervensiPenerjemah: Citro AtmokoEditor: Ahmad Wijaya    COPYRIGHT © ANTARA 2023 ",ekonomi
" Selasa, 5 Desember 2023 07:00 WIB",,Sektor pariwisata bersiap sambut libur Natal 2023,    Kementerian Pariwisata dan Ekonomi Kreatif (Kemenparekraf) mempersiapkan sektor pariwisata jelang musim libur Natal 2023 dan Tahun Baru 2024. Persiapan ini juga mempertimbangkan musim hujan yang mulai melanda wilayah Indonesia. ,ekonomi
" Selasa, 5 Desember 2023 06:51 WIB",Pewarta: SumarwotoEditor: Ahmad WijayaCOPYRIGHT © ANTARA 2023,KAI: Jalur hilir Purwokerto-Cirebon sudah bisa dilalui KA," Jalur hilir di titik yang terdampak longsor sudah dapat dilalui oleh KA dengan kecepatan terbatas pada Selasa (5/12), pukul 03.41 WIBPurwokerto (ANTARA) - Manajer Humas PT Kereta Api Indonesia Daerah Operasi 5 Purwokerto Feni Novida Saragih mengatakan jalur hilir lintas Purwokerto-Cirebon sudah bisa dilalui KA dengan kecepatan terbatas setelah tertutup longsor di KM 340+100 antara Stasiun Karanggandul-Stasiun Karangsari.   ""Jalur hilir di titik yang terdampak longsor sudah dapat dilalui oleh KA dengan kecepatan terbatas pada Selasa (5/12), pukul 03.41 WIB. Kereta api yang pertama melintas adalah KA Ranggajati relasi Jember-Purwokerto-Cirebon,"" katanya di Purwokerto, Kabupaten Banyumas, Selasa.   Menurut dia, upaya percepatan perbaikan jalur KA yang terdampak longsor di KM 340+100 oleh tim gabungan KAI Daop 5 Purwokerto bersama Direktorat Jenderal Perkeretapian Kementerian Perhubungan, Balai Teknik Perkeretaapian Semarang, dan sejumlah organisasi perangkat daerah di lingkungan Pemerintah Kabupaten Banyumas.   Sementara untuk jalur hulu Cirebon-Purwokerto di lokasi yang sama, kata dia, belum dapat dilalui kereta api karena masih dalam proses penanganan terhadap material longsoran.   Oleh karena itu, lanjut dia, seluruh perjalanan KA yang melewati lokasi longsoran tersebut dioperasikan di jalur hilir yang sudah dinormalisasi dan dinyatakan aman dilalui dengan kecepatan terbatas.   ""KAI tetap berkomitmen menjaga keselamatan perjalanan kereta api dan kami mengucapkan terima kasih kepada seluruh pihak yang telah terlibat dalam proses normalisasi jalur KA,"" kata Feni.  Longsor di jalur rel ganda Purwokerto-Cirebon KM 340+100 dilaporkan terjadi pada hari Senin (4/12), pukul 00.58 WIB, akibat hujan lebat dan saat itu material longsoran menutup jalur hilir, sehingga Tim Gabungan PT KAI Daop 5 Purwokerto langsung melakukan penanganan.    Oleh karena jalur hulu masih dapat dilalui, perjalanan KA dialihkan menjadi menjadi satu jalur melalui jalur hulu.    Akan tetapi pada pukul 04.27 WIB, petugas lapangan KAI melaporkan bahwa kembali terjadi longsoran yang berdampak terhadap jalur hilir maupun jalur hulu, sehingga perjalanan KA dialihkan memutar karena kedua jalur tidak bisa dilalui.  Baca juga: Petugas gabungan lakukan pemulihan jalur rel ganda Purwokerto-Cirebon  Baca juga: Longsor di Banyumas tidak ganggu perjalanan KA jalur selatanPewarta: SumarwotoEditor: Ahmad Wijaya    COPYRIGHT © ANTARA 2023 ",ekonomi
" Selasa, 5 Desember 2023 06:48 WIB",Pewarta: SubagyoEditor: Ahmad WijayaCOPYRIGHT © ANTARA 2023,Produsen AMDK komitmen atasi krisis air bersih dan sanitasi," Permasalahan air bersih sudah selayaknya menjadi tanggung jawab bersamaJakarta (ANTARA) - Salah satu produsen air minum dalam kemasan (AMDK) menyatakan komitmen untuk mendukung pemerintah dalam mengatasi krisis air bersih maupun pembenahan sanitasi yang layak bagi masyarakat.   Director of Sustainability Development Danone Indonesia, Karyanto Wibowo dalam keterangannya di Jakarta, Selasa menyebutkan saat ini baru 90 persen penduduk yang dapat mengakses air bersih di Indonesia. Sementara itu masih 80 persen penduduk yang memiliki sanitasi yang layak.   Pemerintah, lanjutnya menargetkan seluruh masyarakat Indonesia dapat memperoleh akses air bersih dan sanitasi di 2030.   ""Tentu saja kita tidak bisa menunggu selama itu. Permasalahan air bersih sudah selayaknya menjadi tanggung jawab bersama. Disinilah peran kami untuk dapat mendukung pemerintah dalam mewujudkan hal tersebut,"" ujar Karyanto.   Terkait hal itu, dia menambahkan, Danone Indonesia bekerjasama dengan Rabithah Ma'ahid Islamiyah (RMI) Pengurus Cabang Nahdlatul Ulama (PCNU) Kabupaten Bogor, Jawa Barat menyerahkan bantuan sumur bor dan sanitasi untuk sembilan pesantren NU yang ada di wilayah kabupaten tersebut.   Untuk kegiatan ini, perusahaan memberikan donasi berupa uang tunai sebesar Rp390 juta yang akan digunakan untuk membangun sumur bor dan sanitasi layak kepada sembilan pesantren dan satu kantor PCNU di Bogor, yang penyerahannya telah dilakukan pada Senin (4/11).   ""Kami ingin terus memberikan kontribusi nyata kepada masyarakat sekitar. Kali ini kami menyoroti bagaimana mencari solusi terkait permasalahan air bersih yang masih menjadi polemik di Indonesia hingga saat ini,"" ujar Karyanto.   Ketua PC RMI Kabupaten Bogor KH Abdul Basit Mahfuf mengatakan selama ini masih banyak pesantren yang kesulitan mendapatkan air bersih maupun sanitasi yang layak untuk para santri.   ""Juga ada beberapa pesantren yang mengalami krisis air atau kekeringan. Bahkan, kualitas airnya pun berbeda pada saat musim kemarau dan hujan,"" katanya.   Oleh karena itu, lanjutnya, bantuan sumur bor ini sangat diperlukan untuk mendapatkan kualitas air bersih yang layak. Selain kebersihan air, kondisi mandi, cuci, kakus (MCK) juga perlu diperhatikan, baik dari sisi kelayakan maupun jumlahnya.   Salah satu penerima manfaat, Irham Juana dari Pesantren Al Badariah, Leuwiliang, mengatakan dana bantuan itu akan digunakan untuk penambahan MCK, pembuatan sumur bor dan tempat wudhu.   ""Jadi kalau melihat komposisinya memang 1 MCK itu layak dipergunakan 4 santri. Insyaallah dengan bantuan ini mampu menambah MCK hingga 11, dan nantinya cukup dipergunakan oleh 45 santri yang ada,"" katanya.  Baca juga: IPI dan Danone Indonesia beri bantuan untuk korban kebakaran Tangerang  Baca juga: Produsen air minum tingkatkan efisiensi energi 30 persen pada 2025  Pewarta: SubagyoEditor: Ahmad Wijaya    COPYRIGHT © ANTARA 2023 ",ekonomi
" Selasa, 5 Desember 2023 06:46 WIB",Pewarta: Ade irma JunidaEditor: Ahmad WijayaCOPYRIGHT © ANTARA 2023,"Ekonomi kemarin, Sensus Pertanian hingga dua dapen siap dilaporkan","     Jakarta (ANTARA) - Sejumlah kabar mulai dari hasil hasil Sensus Pertanian 2023 (ST2023) hingga Menteri BUMN Erick Thohir siap melaporkan dua dana pensiun (Dapen) milik BUMN ke Kejaksaan Agung (Kejagung) mewarnai pemberitaan bidang ekonomi pada Senin (4/12) kemarin.      Berikut rangkuman berita selengkapnya.      1. Sensus Pertanian BPS catat usaha pertanian capai 29,4 juta unit      Hasil Sensus Pertanian 2023 Badan Pusat Statistik (ST2023) mencatat jumlah usaha pertanian di Indonesia pada 2023 sebanyak 29.360.833 unit usaha yang didominasi oleh Usaha Pertanian Perorangan (UTP) sebanyak 29.342.202 unit atau 99,94 persen.      Selengkapnya di sini  2. Jasa Marga tak usul diskon tarif tol selama libur Natal dan tahun baru      Corporate Communication and Community Development Group Head PT Jasa Marga Tbk (JSMR), Lisye Octaviana mengatakan Jasa Marga tidak mengusulkan adanya potongan (diskon) tarif tol selama periode libur Natal 2023 dan Tahun Baru 2024.      Selengkapnya di sini  3. Pergerakan orang pada libur Natal dan Tahun Baru capai 200-250 juta      Menteri Pariwisata dan Ekonomi Kreatif (Menparekraf) Sandiaga Salahuddin Uno mengatakan, pergerakan masyarakat selama musim libur Natal dan Tahun Baru 2023/2024 mencapai 200-250 juta orang.      Selengkapnya di sini  4. Erick: Dua Dapen BUMN siap dilaporkan ke Kejagung      Menteri Badan Usaha Milik Negara (BUMN) mengatakan, siap melaporkan dua dana pensiun (Dapen) milik BUMN ke Kejaksaan Agung (Kejagung) pada bulan ini.      Selengkapnya di sini  5. OJK sebut 7 perusahaan asuransi berada dalam pengawasan khusus      Kepala Eksekutif Pengawas Perasuransian, Penjaminan, dan Dana Pensiun Otoritas Jasa Keuangan (OJK) Ogi Prastomiyono mengatakan sebanyak 7 perusahaan asuransi masih berada dalam pengawasan khusus per awal Desember 2023.      Selengkapnya di siniPewarta: Ade irma JunidaEditor: Ahmad Wijaya    COPYRIGHT © ANTARA 2023 ",ekonomi
" Selasa, 5 Desember 2023 04:15 WIB",Pewarta: Agatha Olivia VictoriaEditor: Faisal YuniantoCOPYRIGHT © ANTARA 2023,"OJK: 97 penyelenggara ITSK tercatat dalam ""Regulatory Sandbox"""," Seluruh penyelenggara tersebut terbagi dalam 14 klaster bisnisJakarta (ANTARA) - Kepala Eksekutif Pengawas Inovasi Teknologi Sektor Keuangan (ITSK) dan Aset Keuangan Digital dan Aset Kripto (IAKD) Otoritas Jasa Keuangan (OJK) Hasan Fawzi menyebutkan terdapat 97 penyelenggara ITSK yang tercatat dalam proses Regulatory Sandbox OJK per November 2023.   Adapun Regulatory Sandbox merupakan mekanisme pengujian yang dilakukan oleh OJK untuk menilai keandalan proses bisnis, model bisnis, instrumen keuangan, dan tata kelola penyelenggara.   ""Seluruh penyelenggara tersebut terbagi dalam 14 klaster bisnis,"" kata Hasan dalam Konferensi Pers Rapat Dewan Komisioner Bulanan November 2023 secara virtual di Jakarta, Senin.   Hasan menyebutkan, jumlah penyelenggara tersebut menurun dari 99 penyelenggara ITSK pada Oktober 2023 akibat adanya pembatalan status tercatat atas dua penyelenggara ITSK dalam klaster agregator (aggregrator).   Pembatalan status tercatat tersebut didahului dengan pemantauan secara langsung dan kemudian dilanjutkan dengan pengembalian Surat Tanda Bukti Tercatat oleh Penyelenggara ITSK.   Ia memerinci, 97 penyelenggara ITSK tersebut meliputi 37 penyelenggara dalam klaster agregator, 17 penyelenggara penilaian kredit inovatif (innovative credit scoring), delapan penyelenggara autentikasi transaksi (transaction authentication), tujuh penyelenggara agen finansial (financing agent), dan enam penyelenggara electronic-know your customer (e-KYC).   Kemudian, lima penyelenggara dalam klaster teknologi regulasi dan tanda tangan elektronik (regulatory technology and electronic signature/regtech and e-sign), empat penyelenggara perencana keuangan (financial planner), tiga penyelenggara agen pendanaan (funding agent), tiga penyelenggara asuransi dan teknologi (insurance and technology/insurtech), serta dua penyelenggara pajak dan akuntansi.   Terdapat pula dua penyelenggara dalam klaster teknologi manajemen kekayaan (wealth management technology/wealthtech), satu penyelenggara solusi kesulitan daring (online distress solution), satu penyelenggara regtech-Politically Exposed Person (PEP), serta satu penyelenggara pusat asuransi (insurance hub).   Hasan menegaskan, pihaknya melakukan percepatan terkait evaluasi dan pemberian rekomendasi proses Regulatory Sandbox, terutama terkait dengan klaster model bisnis e-KYC, di mana OJK telah melaksanakan pembahasan dengan Direktorat Jenderal Kependudukan dan Catatan Sipil Kementerian Dalam Negeri.   Pembahasan dilakukan terkait dengan kebijakan dan arah pengembangan Identitas Kependudukan Digital khususnya dalam hal pelaksanaan e-KYC di sektor jasa keuangan.   Percepatan juga diberikan untuk klaster model bisnis penyelenggara penilaian kredit inovatif , di mana OJK melakukan percepatan proses evaluasi yang dimulai dengan asesmen terhadap dua penyelenggara penyelenggara penilaian kredit inovatif yang menjadi prototipe dalam Regulatory Sandbox untuk klaster tersebut.   ""Selanjutnya akan dilakukan proses pemantauan secara langsung pada Desember 2023 untuk memastikan aspek pemenuhan semua kriteria kelayakan dan kontrol dari prototipe dimaksud,"" ungkapnya.   Dia membeberkan, sejak diterbitkannya Peraturan OJK (POJK) Nomor 13 Tahun 2018 tentang Inovasi Keuangan Digital di Sektor Jasa Keuangan, terdapat 458 proposal permohonan pencatatan dari penyelenggara ITSK yang masuk ke OJK dalam rangka Regulatory Sandbox. Atas permohonan tersebut, OJK telah menerbitkan status tercatat terhadap 155 penyelenggara ITSK.  Baca juga: OJK catat transaksi aset kripto Rp104,9 triliun per Oktober 2023  Baca juga: OJK restui penundaan implementasi Papan Pemantauan Khusus tahap II  Pewarta: Agatha Olivia VictoriaEditor: Faisal Yunianto    COPYRIGHT © ANTARA 2023 ",ekonomi
" Senin, 4 Desember 2023 23:54 WIB",,"Naik 1,16 persen, alokasi APBN Sultra 2024  sebesar Rp25,88 Triliun","                     ANTARA - Alokasi Anggaran Pendapatan Belanja Negara (APBN) di Sultra untuk Tahun 2024 mencapai Rp25,88 triliun atau naik 1,16 persen dibanding APBN tahun 2023. Daftar Isian Pelaksanaan Anggaran (DIPA) Tahun 2024 tersebut resmi diserahkan Kantor Wilayah Direktorat Jenderal Perbendaharaan Provinsi Sulawesi Tenggara (Kanwil DJPb Sultra) kepada Pemerintah Provinsi Sulawesi Tenggara, Senin (4/12).  (Saharudin/Andi Bagasela/Ludmila Yusufin Diah Nastiti)        ",ekonomi
" Senin, 4 Desember 2023 23:25 WIB",Pewarta: Michael SiahaanEditor: Triono SubagyoCOPYRIGHT © ANTARA 2023,Cadangan beras di Sumut 60 ribu ton pada Desember 2023,"     Medan (ANTARA) - Perum Bulog Kanwil Sumatera Utara menyatakan, cadangan beras pemerintah di Sumut mencapai lebih dari 60 ribu ton pada Desember 2023.    ""Jumlah itu nantinya cukup sampai awal Januari 2024,"" ujar Pemimpin Wilayah Perum Bulog Kanwil Sumut Arif Mandu di Medan, Senin.    Arif melanjutkan, Bulog Sumut akan kedatangan 25 ribu beras impor sampai akhir Desember 2023, dengan rincian 10 ribu ton dari Pakistan, 10 ribu ton dari Vietnam dan lima ribu ton dari Kamboja.    Di luar itu, ada pula paket beras sisa alokasi sebelumnya yang datang menyusul yakni 10 ribu ton dari Myanmar dan lima ribu ton dari Vietnam.    Jumlah tersebut kemudian ditambah dengan stok beras yang ada di gudang Bulog Sumut yakni sekitar 24 ribu ton.    ""Jadi ada sekitar 60 ribu ton beras pada Desember. Nantinya, kurang lebih 30 ribu ton lebih beras tersebut akan dipakai untuk bantuan pangan Desember dan lain-lain. Artinya ada sisa 30 ribu ton untuk cadangan dan itu cukup bahkan sampai awal 2024,"" tutur Arif.    Sampai Senin (4/11), Perum Bulog Sumut sudah menyalurkan 68 ribu ton beras SPHP ke masyarakat atau 93,17 persen dari target total 73 ribu ton.    Kemudian untuk bantuan pangan periode September-November 2023, Bulog Sumut sudah menuntaskannya 100 persen dengan total beras yang diberikan 27.189,84 ton.    Bantuan itu diserahkan kepada 906.328 keluarga penerima manfaat (KPM) yang berhak mendapatkan 10 kilogram beras per bulan.  Baca juga: Bulog pastikan cadangan beras tercukupi hingga akhir 2024  Baca juga: Bayu Krisnamurthi resmi jadi bos Bulog  Baca juga: Bulog Sumut: Pemberian bantuan Desember sekalian tuntaskan tahap keduaPewarta: Michael SiahaanEditor: Triono Subagyo    COPYRIGHT © ANTARA 2023 ",ekonomi
" Senin, 4 Desember 2023 22:55 WIB",,Penggunaan lampu hijau tingkatkan produksi bawang merah,,ekonomi
