authors,comments
server provider3,"Kalo survei elektabilitas Ganjar selalu no 1, tetapi kalo poling manapun Anis selalu di urutan pertama."
Lely Nubhaeti,Ganjar mau jadi presiden jamin harga Lombok bawang kentang naik semu ongkos bis bensin turun hahahahaha
alfian hendra,Pak Ganjar RI 1 2024-2034
Arza Arza,siapa PDI p berarti masuk keluar dr kadang harimau masuk ke mulut buaya JD hati2 lah
Tia Hayati,PAnis ❤
Butun Adventure,Cie cie mimin upload polling capres bayaran 😂😂😂
Fagar Ari,Ganjar bolwh TOP1<br>Anies RI1 untuk 2024-2029
Asni Spd,"Itu serfei Abal Abal, masa kandidat hoby nonton felem porno tinggi elektabilitasnya"
Ronald Fadli,Hasill survey entahh dari manaa 😂😂😂 tiba2 Hasil begini. <br>Yg punya siapa. Yang bikin siapa. Yang ngisi survey siapa. 😂😂😂
Heru Heri ahmad,Prabowo muhaimin
Machali Machali,Survei koplak
Wahyudin Wahyudin,Hihihi....mau.ketawa takut dikira suka bokep....
dadang supriyatna,1survey abal2😂😂😂
sandiwara,dimana ada buzer maka di situlah lembaga survei memenangkan pilihan para buzer
Ismail Triana,GANJAR PRANOWO<br>PRESIDEN RI.1.2024❤<br>ZOOoooss👍
david pirngadi,Saya dan anak2 dukung pasangan Anis-Sugik Nur 👍👍👍👍❤❤❤❤
alek Karo,TOLAK Ganjar Perbowo!!!!? Persiden ku
Opah Siti,Pk gnjr kn selalu di atas nggk heran.
Sodik Abid,"Yes semakin menguat elektabilitas Bapak Ganjar Pranowo Calon Presiden RI 1,"
Putra Agung,Ganjar Pranowo the next president
Izal Bari,Mimpi d siang bolong survei ini
Hitung Mundur,"Alhamdulillah,  siapapun capres nya ok ,ASAL jangan yg punya track record memecah belah bangsa pinter ngomong no action dan ga ada hasil sperti Pak A itu 😂"
Salikun,GP capres cacat moral bisa unggul   <br><br>Pimpin jateng gagal  nyapres mau pimpin indonesia   survey qo bisa unggul     rakyat tdk buta tuli dan tolol    jangan tipu rakyat  jangan bodohi rakyat    Rakyat sdh cerdas
Salikun,survey abal abal    setingan <br>Survey bayaran     survey mnyesatkan  koplaakkk
Sumbar Jono,Klo anis Baswedan kurang merakyat lain dengan ganjar paling merakyat
Totok Miharto,Insya allah......hanya sebatas survey&quot;kalau realita berbanding terbalik
Reira Airani,Pak Ganjar memang cocok untuk RI 1
Junaidi Junet,Ga pa2 Pak Anies no3...presidennya ya...Pak Anies terbukti di pilgub.😂😂😂
Gian Togok,Trus siapa yang milih ganjar kk bisa ungul ini😂😂
Aceh Indonesia,"Dulu aceh raja nya asia namun karna berbaik pada indon aceh membantu indon supaya merdeka, karena soekarno berlutut pada aceh. Setelah aceh membantu apa yang dilakukannya semua harta aceh disikat. Demi kejayaan nusantara harus Anis yang jadi pemimpin supaya indonesia kembali bersatu"
Dani Boy,Waw mantap semakin yakin saya dan kelurga besar mndukung PK Ganjar mnjadi RI1🇮🇩🇮🇩❤️NKRI
Aceh Indonesia,Teknologi masih dipegang oleh PDI. Tapi rakyat tau presiden 2024 Anis Baswedan. rakyat akan saling bahu membahu surfei hasil ditempat
Aceh Indonesia,Anis tak bisa ditandingi
metal rock,Ganjar sama kang emil inget suara kang emil di jabar provinsi terpadat di indonesia lumayan kuat
Witanda Witandi,Kemungkinan Prabowo yg naik ri satu..
Tiyan #54,Madiun jatim Tetep prabowo
Abah Tea,Itu ls.ngimpi x ye dari mana Ganjar bisa no 1<br>Kebalik x PK Anis yg no 1<br>Ls.bayaran.
petualang chanel😱,Ya Ganjar Prabowo lah Anis mh byk bohong
R. Endeh Rukmini,Enggk percaya .masa p Anies dimana tinggi simpatisan masa ke 3.survey mana dulu pk ditayangin di tv segala rakyat cerdas tidk akan liat dr survey.buktinya .
Jaguar Jaguar,"Pak ganjar the nex president, anis minggir aja😆😆"
Mixeers Boy,🎉Ganjar Pranowo yes hanya beliau yg layak jadi pemimpin RI I  g perlu yg lain apalagi Anis baksetan g ada apa apanya mulut gede otak kecil😅😅😅😅
Satria Piningit,Mudah2han ada Survey yang Independent dan Netral.
sandiwara,lo baru pake hp ya?
Satria Piningit,Survey bayaran pasti menangkan rezim...rakyat tidak bodoh
Achmad Kosasih,Insyah Allah pak ganjar pranowo so&quot;k jd presiden RI 2024 👍
Daniella Srie Happy Gloria,"Pilihan PDIP merupakan langkah yg tepat (Untuk wakilnya harus orang yg tepat pula) Jangan sampai salah pilih wapres, Untuk wapresnya harus orang yg sejalan dengan ganjar, Hidup Ganjar Capres Pilihan Raktat Terbaik &quot;Glory Glory Ganjar Presiden&quot; GLORY GLORY GANJAR PRESIDENKU 2024"
Aceh Indonesia,PDI itu partai apa?
Munibul Anwar,Yakin 100℅ Si Rambut Putih Jagoan Jateng
Munibul Anwar,Waduh Mas Anies rendah Mulu
Heru Isdianto,"survey nya hebat, tpi kok ada  perasaan ketakutan di reezim ini"
Musrini Aku,Aku mileh pak Ganjar tros maju.
Musrini Aku,"<a href=""https://www.youtube.com/watch?v=ox1WDX7MHKQ&amp;t=0m13s"">0:13</a>"
Ibrahim Abdul Hamid,Insyalllah ganjar amin 2024
J,Jabatan pimpinan jadi apapun semuanya ada di atas TAQDIR Allah SWT siapapun gk akan bisa merubah  manusia cuman hanya sekedar rencana rencana &amp; rencana Allah Lah yg menentukan nya ( mudah2an yg jd orang no 1 Indonesia bisa jadi negara yg baldatun toyyibatun warobbun Ghofur NEGARA BAROKAH 🤲🤲🤲  ( Aurah wajah kayak nya BPK Subianto ada harapan )
Zeindita Zein,Ganjar - Mahfud ❤😊
Hariyanto Yanto,Aduh ada yg ketar ketir neh bisa bisa musuh musuh bikin hoax dan fitnah kaya foto sama myabi...wkwkwk...
Sulas Hadi,Lembaga survey = Lembaga DUSTA
Maryam Rode,Pak ganjar mantap seluruh Indonesia mendukung pak ganjar penerus pak presiden jokowi melanjutkan program pembangunan seluruh Indonesia menuju Indonesia maju Rakyat makmur menjaga keselamatan bangsa Indonesia NKRI merdeka
Mamanya Laksmi,...judul selalu teratas....tidak bijak......saya pilih prabowo.. kita harus hormati semua pilihan yang beda.. kata pak prabowo : pak anis pak ganjar  kader kader terbaik bangsa juga..
Rosita Justianies,P Ganjar y plg trbaik dr y lain d sandi wkly d lht dr orgny trbaik luar dlm sopan santun trjga omgnny d BS d pegang  DM rakyat org ini rela berkorban apapun DM rakyat Indonesia y adil makmur aman d TDK korupsi
Mami Zizi,Sampai sekarang kami sekeluarga slalu mendukung pak Prabowo sampek 4x calon kami tetap pak prabowo<br>Karna yg tulus sama negara ini cuman pak prabowo
Rudi Chaniago,SURVEY DIBAYAR CUKONG&quot;&quot;!!! NGAK PERCAYA TUUUUHH&quot;&quot;&quot;!!
putra nusantara,ANIES  PASTI  MENANG
Annisa Icha,no comen😅
YouTubers Pemula,SAYA TIDAK PERCAYA DENGAN SURVEI SURVEI ... 😅😅
AA TV VLOG 21 bukittinggi,pak anis RI 1 2024
Ismi Farida,Mari KITA RAPATKAN BARISAN untuk MENJAGA NKRI dengan MEMILIH GANJAR PRANOWO sebagai PRESIDEN RI di PILPRES 2024. Merdeka Merdeka Merdeka
Pak Anton,Ganjar Pranowo ♥️♥️♥️
Ummu Salsa,Survei abal2....emang selalu rakyat udah di tanya i semua ???? Sehat selalu pak Anies Baswedan 🙏
Rezqiansyah Setyawan,Survei itu tergantung 😂😂😂
Jaka Jaya,Hasil survey Anies no 3<br>Tapi ditakuti rezim😂😂
Naya Bkl,Ngarang dan ngaur gak masuk akal
Syukur Abidin,notonegoro lur yg langgeng
Mengenal Tuhan,Ganjar vs prabowo bakalan ketat
DAVIY OFFICIAL,Yes ganjar
Mario Superjoc,survey teratas kok masih mengkhawatirkan no 3?? aneh.. jangan2 abal2
asep sukandar,Klw ya suka bola pasti tau<br>.....😂😂😂😂😂😂😂
Nur Rois,Pak ganjar pilahanku sekeluarga. Aku yakin tetap jagoanku pak gamjar.
